% ============================================================
% Dataset: Propiedades inmobiliarias Colombia
% Objetivo: Predecir precio segun caracteristicas fisicas
% Generado para: Mineria de Datos - Regresion Lineal (Weka)
% Registros: 250 propiedades
% ============================================================

@RELATION propiedades_colombia

% --- Atributos predictores ---
@ATTRIBUTE habitaciones    NUMERIC
@ATTRIBUTE wc              NUMERIC
@ATTRIBUTE estacionamiento NUMERIC
@ATTRIBUTE metrosCuadrados NUMERIC
@ATTRIBUTE ciudad          {Cartagena,Bogota,Medellin,Barranquilla}

% --- Variable objetivo (a predecir) ---
@ATTRIBUTE precio          NUMERIC

@DATA
% habitaciones, wc, estacionamiento, metrosCuadrados, ciudad, precio
4,2,1,139.4,Bogota,514000000
3,1,0,118.6,Barranquilla,524000000
4,4,1,126.7,Cartagena,672000000
4,3,1,149.3,Barranquilla,738000000
2,2,2,97.4,Cartagena,389000000
2,2,2,56.7,Bogota,258000000
1,1,2,97.2,Bogota,454000000
3,3,1,95.7,Barranquilla,478000000
3,2,1,114.7,Medellin,595000000
2,2,2,88.3,Cartagena,415000000
3,1,1,152.3,Cartagena,641000000
3,3,1,135.1,Cartagena,789000000
3,3,1,124.9,Bogota,599000000
4,2,2,147.5,Bogota,605000000
3,3,1,153.1,Cartagena,698000000
4,4,2,144.1,Cartagena,638000000
3,3,3,115.8,Cartagena,508000000
4,4,2,161.4,Cartagena,980000000
5,5,1,215.7,Bogota,1047000000
2,1,2,94.0,Barranquilla,383000000
5,5,2,185.7,Bogota,1014000000
3,3,3,144.3,Bogota,636000000
3,3,1,103.9,Medellin,474000000
1,1,1,89.3,Cartagena,436000000
5,3,0,172.2,Cartagena,1007000000
4,4,1,143.0,Cartagena,837000000
2,2,1,52.1,Bogota,333000000
2,2,1,95.8,Cartagena,437000000
2,1,1,86.1,Cartagena,576000000
2,2,3,113.1,Bogota,376000000
2,2,1,114.5,Barranquilla,338000000
6,3,3,201.6,Cartagena,891000000
4,4,1,126.8,Medellin,802000000
2,2,0,65.6,Bogota,295000000
2,2,0,96.6,Barranquilla,440000000
3,2,1,122.0,Medellin,545000000
3,3,1,110.9,Medellin,449000000
3,1,0,95.4,Bogota,388000000
